brand,model,repair_type,price
Apple,"iPhone iPad mini 5 A2133, A2124, A2126",iPhone Kamera - Front Kamera Bak kamera Ramme,2599kr
Apple,"iPhone iPad mini 5 A2133, A2124, A2126",iPhone Kamera - Lense/Kamera Glas,999kr
Apple,"Apple 449,-",Personal support,449kr
Apple,"Apple Enkel førstegangsvurdering 199,-",Personal support,199kr
Apple,Apple Feilsøking,Personal support,799kr
Apple,Apple Backup,Personal support,699kr
Apple,Apple Fjerne firmware-passord,Personal support,999kr
Apple,Apple Series 1 38 mm 999kr,Personal support,1399kr
Apple,Apple Series 1 42 mm 999kr,Personal support,1499kr
Apple,Apple Series 2 38 mm 999kr,Personal support,1599kr
Apple,Apple Series 2 42 mm 999kr,Personal support,1699kr
Apple,Apple Series 3 38 mm 999kr,Personal support,1999kr
Apple,Apple Series 3 42 mm 999kr,Personal support,2199kr
Apple,Apple Series 4 40 mm 999kr,Personal support,2499kr
Apple,Apple Series 4 44 mm 999kr,Personal support,2999kr
Apple,Apple Series 5 40mm,Personal support,999kr
Apple,Apple Series 5 44mm,Personal support,999kr
