brand,model,repair_type,price
Huawei,Huawei Honor 30 (2020),Andre tjenester - Batteri,699kr
Huawei,Huawei Honor 30 Pro (2020),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor 30 Pro (2020),Andre tjenester - Batteri,699kr
Huawei,Huawei Honor 30 Pro+ (2020),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor 30 Pro+ (2020),Andre tjenester - Batteri,699kr
Huawei,Huawei Honor 30S (2020),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor 30S (2020),Andre tjenester - Batteri,699kr
Huawei,Huawei Honor 30 Lite (2020),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor 30 Lite (2020),Andre tjenester - Batteri,699kr
Huawei,Huawei Honor 30i (2020),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor 30i (2020),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor Play (2018),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor Play (2018),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor Play 3 (2019),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor Play 3 (2019),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor Play 3e (2019),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor Play 3e (2019),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor Play 4 (2020),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor Play 4 (2020),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor Play 4 Pro (2020),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor Play 4 Pro (2020),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor Play 4T (2020),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor Play 4T (2020),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor Play 4T Pro (2020),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor Play 4T Pro (2020),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor Note 10 (2018),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor Note 10 (2018),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor 8X (2018),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor 8X (2018),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor 8X Max (2018),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor 8X Max (2018),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor 8C (2018),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor 8C (2018),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor Magic (2016),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor Magic (2016),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor Magic 2 (2018),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor Magic 2 (2018),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor 8A (2019),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor 8A (2019),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor X10 (2020),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor X10 (2020),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor X10 Max (2020),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor X10 Max (2020),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor 10X Lite (2020),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor 10X Lite (2020),Andre tjenester - Batteri,499kr
Huawei,Huawei Honor V40 (2021),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Honor V40 (2021),Andre tjenester - Batteri,499kr
Huawei,Huawei Mate 8 (2015),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Mate 8 (2015),Andre tjenester - Batteri,499kr
Huawei,Huawei Mate 9 (2016),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Mate 9 (2016),Andre tjenester - Batteri,499kr
Huawei,Huawei Mate 9 Lite,Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Mate 9 Lite,Andre tjenester - Batteri,499kr
Huawei,Huawei Mate 9 Pro (2016),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Mate 9 Pro (2016),Andre tjenester - Batteri,499kr
Huawei,Huawei Porsche Design Mate 9,Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Porsche Design Mate 9,Andre tjenester - Batteri,499kr
Huawei,Huawei Mate 10 (2017),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Mate 10 (2017),Andre tjenester - Batteri,499kr
Huawei,Huawei Mate 10 Pro (2017),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Mate 10 Pro (2017),Andre tjenester - Batteri,499kr
Huawei,Huawei Mate 10 Lite,Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Mate 10 Lite,Andre tjenester - Batteri,499kr
Huawei,Huawei Porsche Design Mate 10 (2017) 699kr,Andre tjenester - Bakglass Lense,499kr
Huawei,Huawei Porsche Design Mate 10 (2017) 699kr,Andre tjenester - Batteri,699kr
Huawei,Huawei Porsche Design Mate RS (2018) 699kr,Andre tjenester - Bakglass Lense,499kr
Huawei,Huawei Porsche Design Mate RS (2018) 699kr,Andre tjenester - Batteri,699kr
Huawei,Huawei Mate 20 (2018),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei Mate 20 (2018),Andre tjenester - Batteri,699kr
Huawei,Huawei Mate 20 Pro (2018),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei Mate 20 Pro (2018),Andre tjenester - Batteri,699kr
Huawei,Huawei Mate 20 Lite (2018),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei Mate 20 Lite (2018),Andre tjenester - Batteri,499kr
Huawei,Huawei Mate 20 X (2018),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei Mate 20 X (2018),Andre tjenester - Batteri,899kr
Huawei,Huawei Mate 20 Porsche RS (2018),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei Mate 20 Porsche RS (2018),Andre tjenester - Batteri,899kr
Huawei,Huawei Mate 30 (2019),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei Mate 30 (2019),Andre tjenester - Batteri,799kr
Huawei,Huawei Mate 30 Pro (2019),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei Mate 30 Pro (2019),Andre tjenester - Batteri,799kr
Huawei,Huawei Mate 30 (5G) (2019),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Mate 30 (5G) (2019),Andre tjenester - Batteri,799kr
Huawei,Huawei Mate 30 Pro (5G) (2019),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Mate 30 Pro (5G) (2019),Andre tjenester - Batteri,799kr
Huawei,Huawei Mate 30E Pro 5G (2020),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Mate 30E Pro 5G (2020),Andre tjenester - Batteri,799kr
Huawei,Huawei Mate 30 RS (2019),Andre tjenester - Bakglass Lense,699kr
Huawei,Huawei Mate 30 RS (2019),Andre tjenester - Batteri,799kr
Huawei,Huawei MatePad Pro (2019),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei MatePad Pro (2019),Andre tjenester - Batteri,799kr
Huawei,Huawei Mate 40 (2020),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei Mate 40 (2020),Andre tjenester - Batteri,899kr
Huawei,Huawei Mate 40 Pro (2020),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei Mate 40 Pro (2020),Andre tjenester - Batteri,999kr
Huawei,Huawei Mate 40 Pro+ (2020),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei Mate 40 Pro+ (2020),Andre tjenester - Batteri,999kr
Huawei,Huawei Mate 40 RS (2020),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei Mate 40 RS (2020),Andre tjenester - Batteri,999kr
Huawei,Huawei Mate 40E (2021),Andre tjenester - Bakglass Lense,999kr
Huawei,Huawei Mate 40E (2021),Andre tjenester - Batteri,999kr
